Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017
 , ,Mesures,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Glaris,Etrangers,,283,46,461,178,286,65,466,180,274,59,452,178,247,29,414,167,231,43,388,157,209,35,383,174,195,41,368,173,203,52,373,170,184,32,363,179
Glaris,Suisses,,284,60,415,131,290,59,425,135,277,48,414,137,270,47,393,123,253,55,369,116,232,38,352,120,220,39,337,117,232,55,357,125,232,59,350,118
Glaris,Total,,567,106,876,309,576,124,891,315,551,107,866,315,517,76,807,290,484,98,757,273,441,73,735,294,415,80,705,290,435,107,730,295,416,91,713,297
Zoug,Etrangers,,827,214,1'344,517,832,150,1'380,548,805,163,1'349,544,791,157,1'319,528,765,160,1'290,525,724,120,1'264,540,728,145,1'266,538,712,168,1'223,511,717,167,1'217,500
Zoug,Suisses,,929,236,1'487,558,952,180,1'499,547,924,160,1'518,594,913,171,1'482,569,887,181,1'457,570,852,148,1'440,588,846,168,1'441,595,892,210,1'440,548,826,164,1'398,572
Zoug,Total,,1'756,450,2'831,1'075,1'784,330,2'879,1'095,1'729,323,2'867,1'138,1'704,328,2'801,1'097,1'652,341,2'747,1'095,1'576,268,2'704,1'128,1'574,313,2'707,1'133,1'604,378,2'663,1'059,1'543,331,2'615,1'072
Fribourg,Etrangers,,2'720,1'079,4'669,1'949,2'394,742,4'475,2'081,2'154,915,4'189,2'035,1'981,750,3'875,1'894,1'766,776,3'696,1'930,1'669,673,3'565,1'896,1'806,824,3'422,1'616,1'984,827,3'529,1'545,1'888,718,3'569,1'681
Fribourg,Suisses,,2'495,995,4'528,2'033,2'417,840,4'466,2'049,2'345,928,4'433,2'088,2'381,899,4'342,1'961,2'215,845,4'279,2'064,2'223,820,4'284,2'061,2'566,1'055,4'333,1'767,2'683,876,4'360,1'677,2'578,810,4'268,1'690
Fribourg,Total,,5'215,2'074,9'197,3'982,4'811,1'582,8'941,4'130,4'499,1'843,8'622,4'123,4'362,1'649,8'217,3'855,3'981,1'621,7'975,3'994,3'892,1'493,7'849,3'957,4'372,1'879,7'755,3'383,4'667,1'703,7'889,3'222,4'466,1'528,7'837,3'371
Soleure,Etrangers,,2'154,580,3'359,1'205,2'095,472,3'360,1'265,1'987,500,3'280,1'293,1'900,434,3'155,1'255,1'811,472,3'119,1'308,1'682,424,3'024,1'342,1'631,479,2'986,1'355,1'631,522,2'946,1'315,1'569,452,2'927,1'358
