Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Zoug,Etrangers,,4.5,827,1'344,517,4.5,832,1'380,548,4.4,805,1'349,544,4.3,791,1'319,528,4.2,765,1'290,525,4,724,1'264,540,4,728,1'266,538,3.9,712,1'223,511,3.9,717,1'217,500,0,0,0,0,3.8,6'901,11'652,4'751
Zoug,Suisses,,1.9,929,1'487,558,1.9,952,1'499,547,1.9,924,1'518,594,1.8,913,1'482,569,1.8,887,1'457,570,1.7,852,1'440,588,1.7,846,1'441,595,1.8,892,1'440,548,1.7,826,1'398,572,0,0,0,0,1.6,8'021,13'162,5'141
Fribourg,Etrangers,,7.2,2'720,4'669,1'949,6.4,2'394,4'475,2'081,5.7,2'154,4'189,2'035,5.3,1'981,3'875,1'894,4.7,1'766,3'696,1'930,4.4,1'669,3'565,1'896,4.8,1'806,3'422,1'616,5.3,1'984,3'529,1'545,5,1'888,3'569,1'681,0,0,0,0,4.9,18'362,34'989,16'627
Fribourg,Suisses,,2,2'495,4'528,2'033,1.9,2'417,4'466,2'049,1.9,2'345,4'433,2'088,1.9,2'381,4'342,1'961,1.7,2'215,4'279,2'064,1.8,2'223,4'284,2'061,2,2'566,4'333,1'767,2.1,2'683,4'360,1'677,2,2'578,4'268,1'690,0,0,0,0,1.7,21'903,39'293,17'390
Soleure,Etrangers,,6.9,2'154,3'359,1'205,6.7,2'095,3'360,1'265,6.3,1'987,3'280,1'293,6,1'900,3'155,1'255,5.8,1'811,3'119,1'308,5.4,1'682,3'024,1'342,5.2,1'631,2'986,1'355,5.2,1'631,2'946,1'315,5,1'569,2'927,1'358,0,0,0,0,5.2,16'460,28'156,11'696
Soleure,Suisses,,2.3,2'590,3'950,1'360,2.2,2'507,3'900,1'393,2.1,2'433,3'897,1'464,2.1,2'381,3'765,1'384,2,2'263,3'687,1'424,1.9,2'178,3'646,1'468,2,2'269,3'760,1'491,2,2'322,3'711,1'389,1.9,2'232,3'701,1'469,0,0,0,0,1.8,21'175,34'017,12'842
Bâle-Ville,Etrangers,,6,2'332,3'274,942,5.9,2'277,3'252,975,5.6,2'179,3'142,963,5.3,2'041,2'974,933,5,1'941,2'897,956,5,1'919,2'879,960,4.8,1'861,2'810,949,4.8,1'861,2'801,940,4.6,1'780,2'719,939,0,0,0,0,4.7,18'191,26'748,8'557
Bâle-Ville,Suisses,,3.1,1'849,2'680,831,3,1'798,2'649,851,3,1'813,2'672,859,3,1'822,2'634,812,2.8,1'711,2'557,846,2.7,1'662,2'501,839,2.7,1'653,2'491,838,2.9,1'765,2'572,807,2.8,1'675,2'449,774,0,0,0,0,2.6,15'748,23'205,7'457
Bâle-Campagne,Etrangers,,5.8,1'953,2'647,694,5.8,1'953,2'666,713,5.7,1'894,2'598,704,5.3,1'773,2'496,723,5.1,1'704,2'423,719,5,1'666,2'388,722,4.8,1'612,2'334,722,4.8,1'608,2'338,730,4.8,1'596,2'288,692,0,0,0,0,4.7,15'759,22'178,6'419
Bâle-Campagne,Suisses,,2.4,2'706,3'464,758,2.4,2'703,3'463,760,2.3,2'642,3'419,777,2.2,2'572,3'324,752,2.2,2'523,3'275,752,2.2,2'511,3'274,763,2.2,2'539,3'309,770,2.2,2'562,3'327,765,2.2,2'486,3'252,766,0,0,0,0,2,23'244,30'107,6'863
