Canton,Mois,Janvier 2016,Janvier 2016,Janvier 2016,Février 2016,Février 2016,Février 2016,Mars 2016,Mars 2016,Mars 2016,Avril 2016,Avril 2016,Avril 2016,Mai 2016,Mai 2016,Mai 2016,Juin 2016,Juin 2016,Juin 2016,Juillet 2016,Juillet 2016,Juillet 2016,Août 2016,Août 2016,Août 2016,Septembre 2016,Septembre 2016,Septembre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total
 ,Mesures,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Grisons,,2.1,3'997,1'708,1.9,3'944,1'898,1.7,3'915,2'007,2.3,4'042,1'525,2,3'631,1'411,1.4,2'951,1'425,1.2,2'795,1'426,1.2,2'767,1'467,1.3,2'899,1'520,1.7,3'487,1'620,1.9,3'835,1'735,1.9,3'765,1'671,1.7,42'028,19'413
Argovie,,3.4,16'408,4'097,3.4,16'529,4'232,3.3,16'298,4'353,3.2,15'885,4'380,3.1,15'760,4'486,3,15'593,4'623,3,15'358,4'557,3,15'485,4'477,3,15'546,4'547,3.1,15'816,4'693,3.2,16'354,4'835,3.3,16'677,4'623,3.2,191'709,53'903
Thurgovie,,2.9,6'552,2'214,2.9,6'652,2'237,2.8,6'568,2'341,2.6,6'271,2'344,2.5,6'157,2'376,2.4,5'961,2'402,2.3,5'722,2'317,2.3,5'719,2'221,2.4,5'874,2'309,2.3,5'907,2'390,2.4,6'095,2'548,2.5,6'265,2'511,2.5,73'743,28'210
Tessin,,4.2,10'677,3'567,4.2,10'610,3'576,3.7,9'689,3'496,3.4,9'133,3'384,3.2,8'765,3'362,3.1,8'481,3'362,3,8'371,3'302,3.1,8'462,3'308,3.2,8'761,3'387,3.4,9'344,3'647,3.6,9'842,3'757,3.9,10'175,3'638,3.5,112'310,41'786
Vaud,,5.1,27'341,6'901,5.1,27'327,7'231,4.9,26'914,7'553,4.7,26'126,7'575,4.5,25'668,7'614,4.4,25'095,7'613,4.5,24'922,7'197,4.7,25'862,7'315,4.6,25'760,7'524,4.6,25'962,7'730,4.7,26'463,7'996,5,27'411,7'708,4.7,314'851,89'957
Valais,,5.5,13'761,4'152,5,13'297,4'529,4.4,12'095,4'515,4,10'737,3'750,3.6,9'815,3'494,3.2,8'827,3'306,3.1,8'556,3'171,3.2,8'753,3'182,3.2,8'838,3'239,3.3,9'206,3'472,3.8,10'340,3'801,5.1,12'700,3'840,3.9,126'925,44'451
Neuchâtel,,6.1,7'319,1'665,6.1,7'314,1'664,5.8,7'151,1'785,5.6,6'964,1'795,5.5,6'954,1'847,5.4,6'910,1'904,5.6,7'015,1'800,5.8,7'105,1'756,5.8,7'151,1'820,5.7,7'190,1'901,5.9,7'361,1'955,6.3,7'605,1'765,5.8,86'039,21'657
Genève,,5.8,16'864,3'220,5.7,16'906,3'457,5.7,16'905,3'621,5.5,16'678,3'792,5.4,16'582,3'844,5.3,16'355,3'873,5.4,16'237,3'600,5.5,16'317,3'487,5.5,16'491,3'530,5.5,16'551,3'557,5.4,16'516,3'786,5.5,16'711,3'764,5.5,199'113,43'531
Jura,,4.8,2'396,631,4.8,2'432,678,4.7,2'425,706,4.4,2'351,724,4.3,2'320,735,4.3,2'355,779,4.5,2'398,759,4.7,2'397,666,4.6,2'360,667,4.6,2'426,735,4.6,2'498,802,5.1,2'617,752,4.6,28'975,8'634
Total,,3.6,222'751,59'107,3.6,222'888,61'471,3.5,218'187,62'863,3.3,210'926,61'386,3.2,206'239,61'461,3.1,201'131,62'004,3.1,199'347,60'037,3.2,201'989,59'131,3.2,203'568,60'893,3.2,207'512,62'981,3.3,215'215,65'987,3.5,223'413,64'041,3.3,2'533'166,741'362
