Canton,Nationalité,Mois,Janvier 2016,Janvier 2016,Janvier 2016,Janvier 2016,Février 2016,Février 2016,Février 2016,Février 2016,Mars 2016,Mars 2016,Mars 2016,Mars 2016,Avril 2016,Avril 2016,Avril 2016,Avril 2016,Mai 2016,Mai 2016,Mai 2016,Mai 2016,Juin 2016,Juin 2016,Juin 2016,Juin 2016,Juillet 2016,Juillet 2016,Juillet 2016,Juillet 2016,Août 2016,Août 2016,Août 2016,Août 2016,Septembre 2016,Septembre 2016,Septembre 2016,Septembre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Obwald,Suisses,,0.6,109,202,93,0.7,131,219,88,0.8,148,229,81,0.7,130,217,87,0.7,127,221,94,0.6,110,206,96,0.6,116,206,90,0.6,110,196,86,0.5,90,179,89,0.7,126,204,78,0.6,113,197,84,0.7,121,194,73,0.7,1'431,2'470,1'039
Nidwald,Etrangers,,3.7,120,204,84,3.1,99,209,110,3.2,104,200,96,2.6,85,185,100,2.9,95,187,92,2.9,94,188,94,3.6,115,184,69,3.2,104,178,74,2.8,91,195,104,2.7,88,191,103,3,96,208,112,3.8,122,212,90,3.1,1'213,2'341,1'128
Nidwald,Suisses,,0.9,186,321,135,0.8,172,327,155,0.9,187,338,151,0.8,171,321,150,0.8,174,324,150,0.8,168,318,150,0.9,180,314,134,0.9,188,315,127,0.8,174,313,139,0.8,174,308,134,0.8,169,311,142,0.9,181,298,117,0.8,2'124,3'808,1'684
Glaris,Etrangers,,6,321,499,178,5.5,297,490,193,5.7,305,501,196,5.2,280,487,207,4.7,254,469,215,4.2,228,453,225,4.3,232,445,213,4.4,235,439,204,4.4,238,427,189,4.4,236,419,183,4.8,256,442,186,5.2,279,454,175,4.9,3'161,5'525,2'364
Glaris,Suisses,,1.5,265,399,134,1.6,271,404,133,1.6,267,397,130,1.5,255,379,124,1.4,248,366,118,1.5,258,375,117,1.6,277,380,103,1.6,272,384,112,1.6,271,379,108,1.5,263,378,115,1.6,277,400,123,1.7,290,402,112,1.6,3'214,4'643,1'429
Zoug,Etrangers,,4.2,775,1'300,525,4.3,778,1'306,528,4.2,760,1'280,520,4,736,1'244,508,4,723,1'227,504,3.9,719,1'217,498,3.8,697,1'191,494,3.8,704,1'183,479,3.8,692,1'198,506,3.9,715,1'208,493,4,731,1'271,540,4.4,799,1'319,520,4,8'829,14'944,6'115
Zoug,Suisses,,1.8,915,1'421,506,1.8,907,1'443,536,1.8,868,1'423,555,1.7,849,1'389,540,1.7,853,1'396,543,1.7,844,1'390,546,1.7,832,1'365,533,1.8,880,1'391,511,1.8,881,1'376,495,1.7,857,1'392,535,1.7,824,1'419,595,1.8,894,1'494,600,1.8,10'404,16'899,6'495
Fribourg,Etrangers,,7.5,2'808,4'643,1'835,7,2'629,4'558,1'929,6.5,2'452,4'353,1'901,5.9,2'199,4'008,1'809,5.3,1'973,3'766,1'793,4.9,1'837,3'629,1'792,4.9,1'841,3'494,1'653,5.4,2'035,3'655,1'620,4.9,1'844,3'631,1'787,5.1,1'927,3'825,1'898,5.4,2'022,4'103,2'081,6.9,2'578,4'517,1'939,5.8,26'145,48'182,22'037
Fribourg,Suisses,,2.2,2'804,4'459,1'655,2.1,2'678,4'416,1'738,2,2'569,4'326,1'757,1.9,2'440,4'222,1'782,1.8,2'305,4'100,1'795,1.7,2'193,4'059,1'866,1.9,2'376,4'087,1'711,2.1,2'603,4'305,1'702,1.9,2'387,4'276,1'889,1.9,2'410,4'280,1'870,1.9,2'355,4'372,2'017,1.9,2'460,4'502,2'042,1.9,29'580,51'404,21'824
Soleure,Etrangers,,6.7,2'093,3'156,1'063,6.4,2'022,3'198,1'176,6.1,1'932,3'121,1'189,5.8,1'812,3'017,1'205,5.6,1'754,2'959,1'205,5.3,1'655,2'894,1'239,5.3,1'671,2'866,1'195,5.6,1'760,2'929,1'169,5.7,1'786,2'988,1'202,5.8,1'827,3'081,1'254,6.1,1'922,3'245,1'323,6.8,2'137,3'349,1'212,5.9,22'371,36'803,14'432
Soleure,Suisses,,2.2,2'539,3'798,1'259,2.2,2'532,3'804,1'272,2.2,2'518,3'794,1'276,2.2,2'469,3'781,1'312,2.1,2'435,3'768,1'333,2.1,2'358,3'778,1'420,2,2'292,3'748,1'456,2.1,2'422,3'815,1'393,2.1,2'434,3'824,1'390,2.1,2'405,3'802,1'397,2.1,2'458,3'854,1'396,2.2,2'542,3'923,1'381,2.1,29'404,45'689,16'285
Bâle-Ville,Etrangers,,5.7,2'187,3'015,828,5.8,2'242,3'125,883,5.6,2'157,3'022,865,5.6,2'175,3'020,845,5.4,2'074,2'916,842,5.2,1'991,2'884,893,5,1'916,2'795,879,4.9,1'899,2'749,850,4.9,1'885,2'765,880,4.9,1'899,2'797,898,5.4,2'068,3'007,939,5.8,2'243,3'170,927,5.3,24'736,35'265,10'529
Bâle-Ville,Suisses,,2.9,1'760,2'519,759,3,1'820,2'586,766,2.9,1'778,2'556,778,3,1'809,2'623,814,2.9,1'782,2'597,815,2.9,1'731,2'538,807,2.8,1'683,2'465,782,2.9,1'766,2'524,758,2.9,1'764,2'536,772,2.9,1'778,2'578,800,3,1'790,2'615,825,3,1'789,2'618,829,2.9,21'250,30'755,9'505
Bâle-Campagne,Etrangers,,5.8,1'943,2'525,582,5.7,1'902,2'508,606,5.6,1'867,2'482,615,5.4,1'798,2'436,638,5.3,1'766,2'418,652,5.2,1'744,2'426,682,5.1,1'712,2'408,696,5.2,1'740,2'407,667,5.2,1'741,2'419,678,5.2,1'723,2'416,693,5.4,1'811,2'505,694,5.8,1'946,2'635,689,5.4,21'693,29'585,7'892
Bâle-Campagne,Suisses,,2.3,2'670,3'417,747,2.3,2'637,3'379,742,2.3,2'665,3'423,758,2.3,2'598,3'366,768,2.3,2'586,3'337,751,2.3,2'633,3'400,767,2.3,2'634,3'391,757,2.3,2'683,3'417,734,2.3,2'628,3'366,738,2.2,2'564,3'307,743,2.3,2'646,3'436,790,2.4,2'701,3'488,787,2.3,31'645,40'727,9'082
Schaffhouse,Etrangers,,6.8,796,1'361,565,6.8,799,1'384,585,6.7,786,1'369,583,6.7,780,1'347,567,6.5,758,1'354,596,6.3,737,1'343,606,6.1,708,1'267,559,6,698,1'271,573,6.1,715,1'264,549,6,699,1'264,565,6.2,719,1'302,583,6.6,775,1'327,552,6.4,8'970,15'853,6'883
Schaffhouse,Suisses,,2.3,744,1'298,554,2.2,688,1'297,609,2.2,687,1'301,614,2,632,1'242,610,2.1,673,1'262,589,2.1,675,1'229,554,2.1,677,1'171,494,2.2,689,1'218,529,2.2,708,1'240,532,2.1,678,1'196,518,2.2,695,1'245,550,2.3,738,1'237,499,2.2,8'284,14'936,6'652
Appenzell Rhodes-Extérieures,Etrangers,,5.1,266,412,146,4.7,245,391,146,4.4,227,380,153,3.9,205,354,149,3.6,185,337,152,3.6,188,342,154,3.8,199,344,145,3.9,202,338,136,3.6,188,329,141,3.3,174,322,148,3.5,180,357,177,3.9,203,369,166,3.9,2'462,4'275,1'813
