,Unnamed: 0,conflictid,location,sidea,side b,sidebid,incomp,terr,year,intensity,cumint,type,start_month,ependdate,region,ISO2,decolonisation_year,colonizer
354,354,229,Malaysia,United Kingdom,CPM,196,1,Malaya,1957,1,1,1,6,1957-08-31,3,MY,1867,United Kingdom
539,539,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1952,1,0,1,10,,4,KE,1867,United Kingdom
540,540,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1953,2,1,1,10,,4,KE,1867,United Kingdom
541,541,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1954,2,1,1,10,,4,KE,1867,United Kingdom
542,542,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1955,2,1,1,10,,4,KE,1867,United Kingdom
543,543,241,Kenya,United Kingdom,Mau Mau,400,1,Kenya,1956,2,1,1,10,1956-12-31,4,KE,1867,United Kingdom
554,554,244,Morocco,France,Istiqlal,401,1,Morocco,1953,1,0,1,11,,4,MA,1776,France
555,555,244,Morocco,France,Istiqlal,401,1,Morocco,1954,1,0,1,11,,4,MA,1776,France
556,556,244,Morocco,France,Istiqlal,401,1,Morocco,1955,1,0,1,11,,4,MA,1776,France
557,557,244,Morocco,France,Istiqlal,401,1,Morocco,1956,1,0,1,11,1956-03-02,4,MA,1776,France
558,558,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1953,1,0,1,4,,4,TN,1776,France
559,559,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1954,1,0,1,4,,4,TN,1776,France
560,560,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1955,1,0,1,4,,4,TN,1776,France
561,561,245,Tunisia,France,National Liberation Army,402,1,Tunisia,1956,1,0,1,4,1956-03-20,4,TN,1776,France
562,562,246,Algeria,France,FLN ,403,1,Algeria,1954,1,0,1,11,,4,DZ,1776,France
563,563,246,Algeria,France,"FLN , MNA","403, 404",1,Algeria,1955,2,1,1,11,,4,DZ,1776,France
564,564,246,Algeria,France,"FLN , MNA","403, 404",1,Algeria,1956,2,1,1,11,,4,DZ,1776,France
565,565,246,Algeria,France,"FLN , MNA","403, 404",1,Algeria,1957,2,1,1,11,,4,DZ,1776,France
566,566,246,Algeria,France,FLN ,403,1,Algeria,1958,2,1,1,11,,4,DZ,1776,France
567,567,246,Algeria,France,FLN ,403,1,Algeria,1959,2,1,1,11,,4,DZ,1776,France
568,568,246,Algeria,France,FLN ,403,1,Algeria,1960,2,1,1,11,,4,DZ,1776,France
569,569,246,Algeria,France,FLN ,403,1,Algeria,1961,2,1,1,11,,4,DZ,1776,France
570,570,246,Algeria,France,FLN ,403,1,Algeria,1962,1,1,1,11,1962-03-19,4,DZ,1776,France
577,577,248,Cyprus,United Kingdom,EOKA,220,1,Cyprus,1955,1,0,1,6,,1,CY,1867,United Kingdom
578,578,248,Cyprus,United Kingdom,EOKA,220,1,Cyprus,1956,1,0,1,6,,1,CY,1867,United Kingdom
579,579,248,Cyprus,United Kingdom,EOKA,220,1,Cyprus,1957,1,0,1,6,,1,CY,1867,United Kingdom
580,580,248,Cyprus,United Kingdom,EOKA,220,1,Cyprus,1958,1,0,1,6,,1,CY,1867,United Kingdom
581,581,248,Cyprus,United Kingdom,EOKA,220,1,Cyprus,1959,1,0,1,6,1959-02-19,1,CY,1867,United Kingdom
618,618,254,Cameroon,France,UPC,564,1,Cameroon,1957,1,0,1,9,,4,CM,1776,France
619,619,254,Cameroon,France,UPC,564,1,Cameroon,1958,1,0,1,9,,4,CM,1776,France
620,620,254,Cameroon,France,UPC,564,1,Cameroon,1959,1,0,1,9,1959-12-31,4,CM,1776,France
622,622,256,"Mauritania, Morocco",France,NLA,565,1,Morocco/Mauritania,1957,1,0,1,1,,4,FR,1776,France
623,623,256,"Mauritania, Morocco",France,NLA,565,1,Morocco/Mauritania,1958,1,0,1,1,1958-06-30,4,FR,1776,France
624,624,257,"Mauritania, Morocco",Spain,NLA,565,1,Morocco/Spanish territories,1957,1,0,1,11,,4,ES,1821,Spain
625,625,257,"Mauritania, Morocco",Spain,NLA,565,1,Morocco/Spanish territories,1958,1,0,1,11,1958-06-30,4,ES,1821,Spain
685,685,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1961,2,1,1,2,,4,AO,1975,Portugal
686,686,263,Angola,Portugal,FNLA,566,1,Angola,1962,2,1,1,2,,4,AO,1975,Portugal
687,687,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1963,1,1,1,2,,4,AO,1975,Portugal
688,688,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1964,1,1,1,2,,4,AO,1975,Portugal
689,689,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1965,1,1,1,2,,4,AO,1975,Portugal
690,690,263,Angola,Portugal,"FNLA, MPLA, UNITA","566, 405, 567",1,Angola,1966,1,1,1,2,,4,AO,1975,Portugal
691,691,263,Angola,Portugal,"MPLA, UNITA","405, 567",1,Angola,1967,1,1,1,2,,4,AO,1975,Portugal
692,692,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1968,1,1,1,2,,4,AO,1975,Portugal
