,location,ID,colonizer_country,Indep Date,sidea,side b,incomp,year,intensity,cumint,type,startdate,startdate2,ependdate,region
50,Cyprus,CY,United Kingdom,16/8/1960,United Kingdom,EOKA,1,1956,1,0,1,1955-06-02,1955-06-02,,1
51,Cyprus,CY,United Kingdom,16/8/1960,United Kingdom,EOKA,1,1957,1,0,1,1955-06-02,1955-06-02,,1
52,Cyprus,CY,United Kingdom,16/8/1960,United Kingdom,EOKA,1,1958,1,0,1,1955-06-02,1955-06-02,,1
53,Cyprus,CY,United Kingdom,16/8/1960,United Kingdom,EOKA,1,1959,1,0,1,1955-06-02,1955-06-02,1959-02-19,1
54,Cameroon,CM,France,1/1/1960,France,UPC,1,1957,1,0,1,1957-09-30,1957-09-30,,4
55,Cameroon,CM,France,1/1/1960,France,UPC,1,1958,1,0,1,1957-09-30,1957-09-30,,4
56,Cameroon,CM,France,1/1/1960,France,UPC,1,1959,1,0,1,1957-09-30,1957-09-30,1959-12-31,4
57,Mauritania,MR,France,28/11/1960,France,NLA,1,1957,1,0,1,1957-01-12,1957-01-12,,4
58,Mauritania,MR,France,28/11/1960,France,NLA,1,1958,1,0,1,1957-01-12,1957-01-12,1958-06-30,4
59,Mauritania,MR,France,28/11/1960,Spain,NLA,1,1957,1,0,1,1957-11-23,1957-11-23,,4
60,Mauritania,MR,France,28/11/1960,Spain,NLA,1,1958,1,0,1,1957-11-23,1957-11-23,1958-06-30,4
61,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1961,2,1,1,1961-02-04,1961-02-04,,4
62,Angola,AO,Portugal,11/11/1975,Portugal,FNLA,1,1962,2,1,1,1961-02-04,1961-02-04,,4
63,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1963,1,1,1,1961-02-04,1961-02-04,,4
64,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1964,1,1,1,1961-02-04,1961-02-04,,4
65,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1965,1,1,1,1961-02-04,1961-02-04,,4
66,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA, UNITA",1,1966,1,1,1,1961-02-04,1961-02-04,,4
67,Angola,AO,Portugal,11/11/1975,Portugal,"MPLA, UNITA",1,1967,1,1,1,1961-02-04,1961-02-04,,4
68,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1968,1,1,1,1961-02-04,1961-02-04,,4
69,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1969,1,1,1,1961-02-04,1961-02-04,,4
70,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1970,1,1,1,1961-02-04,1961-02-04,,4
71,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1971,1,1,1,1961-02-04,1961-02-04,,4
72,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1972,1,1,1,1961-02-04,1961-02-04,,4
73,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1973,1,1,1,1961-02-04,1961-02-04,,4
74,Angola,AO,Portugal,11/11/1975,Portugal,"FNLA, MPLA",1,1974,1,1,1,1961-02-04,1961-02-04,1974-10-21,4
75,DR Congo ,CD,Belgium,30/6/1960,DR Congo (Zaire),Independent Mining State of South Kasai,1,1960,1,0,3,1960-08-31,1960-08-31,,4
76,Brunei,BN,United Kingdom,1/1/1984,United Kingdom,North Kalimantan Liberation Army,1,1962,1,0,1,1962-12-08,1962-12-08,1962-12-31,3
77,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1963,1,0,1,1963-02-28,1963-02-28,,4
78,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1964,1,0,1,1963-02-28,1963-02-28,,4
79,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1965,1,1,1,1963-02-28,1963-02-28,,4
80,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1966,1,1,1,1963-02-28,1963-02-28,,4
81,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1967,1,1,1,1963-02-28,1963-02-28,,4
82,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1968,1,1,1,1963-02-28,1963-02-28,,4
83,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1969,1,1,1,1963-02-28,1963-02-28,,4
84,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1970,1,1,1,1963-02-28,1963-02-28,,4
85,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1971,1,1,1,1963-02-28,1963-02-28,,4
86,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1972,1,1,1,1963-02-28,1963-02-28,,4
87,Guinea-Bissau,GW,Portugal,24/9/1973,Portugal,PAIGC,1,1973,1,1,1,1963-02-28,1963-02-28,1973-12-31,4
88,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1964,1,0,1,1964-11-19,1964-11-19,,4
89,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1965,1,0,1,1964-11-19,1964-11-19,,4
90,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1966,1,1,1,1964-11-19,1964-11-19,,4
91,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1967,1,1,1,1964-11-19,1964-11-19,,4
92,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1968,1,1,1,1964-11-19,1964-11-19,,4
93,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1969,1,1,1,1964-11-19,1964-11-19,,4
94,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1970,1,1,1,1964-11-19,1964-11-19,,4
95,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1971,1,1,1,1964-11-19,1964-11-19,,4
96,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1972,2,1,1,1964-11-19,1964-11-19,,4
97,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1973,2,1,1,1964-11-19,1964-11-19,,4
98,Mozambique,MZ,Portugal,25/6/1975,Portugal,Frelimo,1,1974,1,1,1,1964-11-19,1964-11-19,1974-09-07,4
99,Angola,AO,Portugal,11/11/1975,Angola,"FNLA, UNITA",2,1975,2,1,4,1975-11-11,1975-11-11,,4
100,Cameroon,CM,France,1/1/1960,Cameroon,UPC,2,1960,2,1,4,1960-01-31,1960-01-31,,4
101,Azerbaijan,AZ,Russia,21/12/1991,Azerbaijan,Republic of Nagorno-Karabakh,1,1991,1,0,4,1991-12-29,1991-12-30,,1
